#-------------------------------------------
# Food Diary Report - Detailed Report,"giovedì, aprile 1, 2021","venerdì, aprile 30, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,811,"23,79","114,55","30,26"
Colazione,548,"23,04","62,05","19,76"
Pranzo,263,"0,75","52,5","10,5"
Cena,,,,
Snacks/Altro,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"venerdì, aprile 2, 2021",811,"23,79","9,834","114,55","8,8","23,43","30,26","396,29",25,489
 Colazione,548,"23,04","9,684","62,05","6,55","21,18","19,76","396,29",25,489
  Crunchy Muesli,210,"6,1","3,25","29,9",3,"5,45","5,5","0,29",,
   50 g
  Marmellata di Mirtilli,23,0,0,"5,55","0,25",,"0,05",3,,
   15 g
  Miele,6,"0,21",,"0,77",,,"0,16",,,
   5 g
  Fette Biscottate Integrali,70,1,"0,2","11,6","2,4","1,2","2,2",220,,
"   2 x 1 fetta, 16 g"
  Caffè (Espresso),1,"0,05","0,028",0,0,0,"0,04",4,0,34
"   1 29,6 ml"
  Latte (Latte Intero),150,"8,12","4,662","11,3",0,"13,15","8,05",100,25,358
   250 g
  Burro di Arachidi,88,"7,56","1,544","2,93","0,9","1,38","3,76",69,0,97
   15 g
 Pranzo,263,"0,75","0,15","52,5","2,25","2,25","10,5",,,
  Garofalo Linguine,263,"0,75","0,15","52,5","2,25","2,25","10,5",,,
   75 g
 Cena,,,,,,,,,,
 Snacks/Altro,,,,,,,,,,

Totale,811,"23,79","9,834","114,55","8,8","23,43","30,26","396,29",25,489
