#-------------------------------------------
# Food Diary Report - Detailed Report,"sabato, gennaio 1, 2022","lunedì, gennaio 31, 2022"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Media Giornaliera,Cal ( kcal),Gras( g),Carb( g),Prot( g)
Totale,1243,"48,7","132,11","73,34"
Colazione,392,"14,45","41,46","25,4"
Pranzo,537,"18,05","61,93","31,49"
Cena,163,"6,94","14,65","11,97"
Snacks/Altro,150,"9,25","14,07","4,5"

#-------------------------------------------
# Report Details
#-------------------------------------------
Data,Cal ( kcal),Gras( g),Sat( g),Carb( g),Fibre( g),Zucch( g),Prot( g),Sod( mg),Coles( mg),Potassio( mg)

"lunedì, gennaio 3, 2022",1520,"54,7","31,895","180,87","12,6","80,15","72,99",2328,51,407
 Colazione,271,"6,65","3,173","38,57","3,8","18,08","12,86","6,2",0,54
  Yomo Miele,12,"0,42",,"1,54",,,"0,32",,,
   10 g
  Crownfield Fiocchi d'avena,115,"2,17","0,4","18,2","3,1","0,22","4,18","6,2",,
   31 g
  Dattero,23,"0,03","0,003","6,23","0,7","5,26","0,2",0,0,54
   1 dattero
  Granarolo Latte Parzialmente Scremato Più Giorni,121,"4,03","2,77","12,6",0,"12,6","8,16",0,,
   252 ml
 Pranzo,1249,"48,05","28,722","142,3","8,8","62,07","60,13","2321,8",51,353
  Bauli Pandoro,528,"24,7","16,9",65,,"35,1","9,49",728,,
   130 g
  Arance,62,"0,16","0,02","15,39","3,1","12,25","1,23",0,0,237
"   1 frutto (6,5 cm di diametro)"
  Mandarino,37,"0,22","0,027","9,34","1,3","7,41","0,57",1,0,116
"   1 piccolo (5,5 cm di diametro)"
  Aia Aequilibrium Petto di Pollo al Forno,133,"1,82","0,42","5,46",0,0,"23,8","2,8",,
   140 g
  Mulino Bianco Pan Bauletto,256,"3,6","0,4","45,6","4,4","6,8",8,1040,,
"   4 x 1 fetta, 94 g"
  Scamorza,233,"17,55","10,955","1,51",0,"0,51","17,04",550,51,
   70 g
 Cena,,,,,,,,,,
 Snacks/Altro,,,,,,,,,,

"venerdì, gennaio 7, 2022",557,"19,62","4,289","61,11","10,62","17,39","37,26","649,15",0,541
 Colazione,557,"19,62","4,289","61,11","10,62","17,39","37,26","649,15",0,541
  Hero Marmellata Light Lamponi ,6,"0,02",0,"1,72","0,22","0,45","0,06",0,,
   15 g
  Granarolo Latte Parzialmente Scremato,70,"2,4","1,65","7,42",,"7,42","4,72",75,,
