#-------------------------------------------
# Food Diary Report - Detailed Report,"Friday, September 1, 2023","Saturday, September 30, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1420,35.8,200.44,81.97
Breakfast,374,12.35,46.61,21.07
Lunch,367,12.64,49.35,14.45
Dinner,445,2.1,82.83,27.4
Snacks/Other,234,8.7,21.66,19.05

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Saturday, September 23, 2023",1873,37.72,11.892,284.44,17.02,93.52,103.41,1775.95,710.33,1869.47
 Breakfast,476,19.4,6.591,52.7,1.88,28.95,23.92,439.97,572.28,209.13
  Publix Red Seedless Grapes,112,0,0,26.25,1.88,22.5,1.88,0,0,0
"   1 7/8 x 1/2 cup, 150 g"
  Great Value 1/3 Less Fat Than Cream Cheese Neufchatel Cheese,50,4.28,2.5,1.43,0,1.43,1.43,74.97,14.28,32.13
   20 g
  Nature's Own Butterbread,120,2,0,24,0,4,4,180,0,0
"   2 x 1 slice, 52 g"
  Egg,194,13.12,4.091,1.02,0,1.02,16.61,185,558,177
   3 medium
 Lunch,691,2.92,0.75,132.05,4.21,10.53,29.35,823.95,52.29,336.96
  Green Giant Whole Kernel Sweet Corn,126,1.05,0,23.17,4.21,10.53,4.21,547.56,0,336.96
   263 g
  Chicken of the Sea Sardines in Water,67,1.87,0.75,0,0,0,12.7,276.39,52.29,
   3 oz
  Mahatma Basmati Rice,498,0,0,108.88,0,0,12.44,0,0,
   140 g
 Dinner,284,1.29,0.261,56.72,5.1,45.63,17.98,223.55,26.78,1213.75
  Cucumber (with Peel) ,15,0.11,0.034,3.63,0.5,1.67,0.65,2,0,147
   100 g
  Tomatoes,36,0.4,0.092,7.84,2.4,5.26,1.76,10,0,474
   200 g
  Great Value Chunk Light Tuna in Water,61,0.38,0,0,0,0,13.77,206.55,26.78,114.75
   65 g
"  Grapes (Red or Green, European Type Varieties Such As Thompson Seedless) ",172,0.4,0.135,45.25,2.2,38.7,1.8,5,0,478
   250 g
 Snacks/Other,422,14.11,4.29,42.97,5.83,8.41,32.16,288.48,58.98,109.63
"  Nature Valley Protein Chewy Bars - Peanut, Almond & Dark Chocolate",200,12,3.5,15,5,6,10,150,4,
"   1 bar, 40 g"
  Mass Gainer,112,0.38,0.21,23.35,0.25,1.26,3.7,,8.82,
   30 g
  100% Whey Protein,110,1.73,0.58,4.62,0.58,1.15,18.46,138.48,46.16,109.63
   30 g

"Monday, September 25, 2023",1712,69.67,21.561,169.11,25.03,65.9,125.6,1982.65,584.22,2550.4
 Breakfast,646,17.66,6.129,87.12,4.29,25.46,39.28,525.37,438.14,739.35
  Great Value 1/3 Less Fat Than Cream Cheese Neufchatel Cheese,50,4.28,2.5,1.43,0,1.43,1.43,74.97,14.28,32.13
   20 g
  Bananas ,121,0.45,0.152,31.06,3.5,16.63,1.48,1,0,487
   1 large (8" to 8-7/8" long)
  Mass Gainer,112,0.38,0.21,23.35,0.25,1.26,3.7,,8.82,
   30 g
  100% Whey Protein,102,1.61,0.54,4.3,0.54,1.08,17.22,129.12,43.04,102.22
   28 g
  Butterbread,132,2.19,0,26.3,0,4.38,4.38,197.28,0,0
   57 g
  Egg,129,8.75,2.727,0.68,0,0.68,11.07,123,372,118
   2 medium
 Lunch,410,35,10,16,,,14,,,
  Kneaders Veggie Sandwich ,410,35,10,16,,,14,,,
   1 sandwich
 Dinner,376,5.01,1.932,43.99,11.74,28.44,47.32,1232.28,141.08,1501.05
  French's Classic Yellow Mustard,0,0,0,0,0,0,0,198,0,
   18 g
  Apples ,96,0.31,0.052,25.55,4.4,19.22,0.48,2,0,198
   185 g
  Tyson Foods Grilled & Ready Chicken Breast Strips,207,4.7,1.88,3.76,0,1.88,39.5,940.5,141.08,752.4
   158 g
  Great Value California Style Vegetable Mix,73,0,0,14.68,7.34,7.34,7.34,91.78,0,550.65
   312 g
 Snacks/Other,280,12,3.5,22,9,12,25,225,5,310
  Dannon Oikos Triple Zero - Vanilla (Container),90,0,0,7,3,5,15,65,5,210
"   1 container, 150 g"
  Nature Valley Protein Chewy Bars - Peanut Butter Dark Chocolate,190,12,3.5,15,6,7,10,160,0,100
"   1 bar, 40 g"

"Wednesday, September 27, 2023",676,0,0,147.77,0,0,16.89,0,0,
 Breakfast,,,,,,,,,,
 Lunch,,,,,,,,,,
 Dinner,676,0,0,147.77,0,0,16.89,0,0,
  Mahatma Basmati Rice,676,0,0,147.77,0,0,16.89,0,0,
   190 g
 Snacks/Other,,,,,,,,,,

Total,4261,107.39,33.453,601.32,42.05,159.42,245.9,3758.6,1294.55,4419.87
