#-------------------------------------------
# Food Diary Report - Detailed Report,"Sunday, October 1, 2023","Tuesday, October 31, 2023"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1997,33.02,330.94,102.55
Breakfast,642,17.59,85.14,40.14
Lunch,853,14.15,145,42.62
Dinner,502,1.28,100.8,19.79
Snacks/Other,,,,

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Friday, October 6, 2023",1997,33.02,10.491,330.94,31.44,36.02,102.55,1605.19,511.65,2054.49
 Breakfast,642,17.59,6.169,85.14,4.33,25.15,40.14,517.45,441.26,746.76
  Bananas,121,0.45,0.152,31.06,3.5,16.63,1.48,1,0,487
   1 large (8" to 8-7/8" long)
  Great Value 1/3 Less Fat Than Cream Cheese Neufchatel Cheese,50,4.28,2.5,1.43,0,1.43,1.43,74.97,14.28,32.13
   20 g
  Mass Gainer,112,0.38,0.21,23.35,0.25,1.26,3.7,,8.82,
   30 g
  100% Whey Protein,110,1.73,0.58,4.62,0.58,1.15,18.46,138.48,46.16,109.63
   30 g
  Butterbread,120,2,0,24,0,4,4,180,0,0
"   2 x 1 slice, 52 g"
  Egg,129,8.75,2.727,0.68,0,0.68,11.07,123,372,118
   2 medium
 Lunch,853,14.15,4.23,145,10,0,42.62,595.74,70.39,420.37
  Kraft 100% Grated Parmesan & Romano Cheese,68,5.1,3.4,0,0,0,6.8,255,13.6,0
   17 g
  Trader Joe's Avocado Oil,40,4.66,0.83,0,,,0,,0,
   5 ml
  Bumble Bee Chunk Light Tuna in Water,95,1.89,0,0,0,0,20.82,340.74,56.79,170.37
   106 g
  Quaker Quick Grits,650,2.5,0,145,10,0,15,0,0,250
"   5 x 1/4 cup dry, 185 g"
 Dinner,502,1.28,0.092,100.8,17.11,10.87,19.79,492,0,887.36
  Del Monte Fresh Cut Sweet Peas,116,0,0,21.21,7.71,3.86,5.78,482,0,231.36
   465 g
  Tomatoes,36,0.4,0.092,7.84,2.4,5.26,1.76,10,0,474
   200 g
  Rice Select Pearl Couscous Original,350,0.88,0,71.75,7,1.75,12.25,0,0,182
"   1 3/4 x 1/4 cup, 98 g"
 Snacks/Other,,,,,,,,,,

Total,1997,33.02,10.491,330.94,31.44,36.02,102.55,1605.19,511.65,2054.49
