#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, January 1, 2024","Wednesday, January 31, 2024"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1424,50.1,135.89,108
Breakfast,390,12.8,43.38,25.2
Lunch,784,30.7,81.26,46.3
Dinner,141,6.1,2.5,19
Snacks/Other,110,0.5,8.74,17.49

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)

"Friday, January 19, 2024",771,43.15,9.476,45.52,4.7,2.78,53.37,1541.35,104.55,573
 Breakfast,,,,,,,,,,
 Lunch,771,43.15,9.476,45.52,4.7,2.78,53.37,1541.35,104.55,573
  Parmesan Cheese (Shredded) ,104,6.84,4.342,0.85,0,,9.46,424,18,24
   25 g
  Olive Oil ,133,15,2.071,0,0,0,0,0,0,0
   15 g
  Rio Mare Solid Light Tuna in Olive Oil,317,20.2,2.88,0,0,0,34.62,894.35,86.55,
   150 g
  Broccoli ,54,0.59,0.062,10.62,4.2,2.72,4.51,53,0,506
   160 g
  Basmati Rice,163,0.52,0.121,34.05,0.5,0.06,4.78,170,0,43
   135 g
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Tuesday, January 30, 2024",2078,57.06,24.733,226.26,6.23,39.97,162.62,2467.08,558,829.24
 Breakfast,779,25.61,12.023,86.77,4.13,21.49,50.4,477.08,558,779.24
  Banana,105,0.39,0.132,26.95,3.1,14.43,1.29,1,0,422
   1 medium (7" to 7-7/8" long)
  Lidl Gallette di Riso,78,0.6,0.14,15.6,,0.14,1.8,2.1,,
"   3 x 1 galetta , 20.1 g"
  Milbona Formaggio Fresco Spalmabile Classico,95,9,6.28,1.2,0,1.2,2.2,108.8,,
   40 g
  Egg,194,13.12,4.091,1.02,0,1.02,16.61,185,558,177
   3 medium
  Whey Protein,118,1.65,1.08,4.5,0.63,1.5,21,180,,
   30 g
  Serious Mass,189,0.85,0.3,37.5,0.4,3.2,7.5,0.18,,180.24
   50 g
 Lunch,796,18.26,8.25,117,2.1,0.45,39.24,672,,50
  Conad Parmigiano,159,11.6,7.2,0,0,0,13.2,240,,50
   40 g
  Coop Filetti di Sgombro,112,5.76,0.9,0,0,0,14.94,420,,
   60 g
  Riso Grazia Riso Basmati,525,0.9,0.15,117,2.1,0.45,11.1,12,,
   150 g
 Dinner,282,12.2,3.8,5,,1.2,38,1120,,
  Scottona Hamburger,282,12.2,3.8,5,,1.2,38,1120,,
   200 g
 Snacks/Other,221,0.99,0.66,17.49,,16.83,34.98,198,,
  Milbona High Protein Drink Cacao,221,0.99,0.66,17.49,,16.83,34.98,198,,
   330 ml

Total,2849,100.21,34.209,271.78,10.93,42.75,215.99,4008.43,662.55,1402.24
