#-------------------------------------------,,,,,,,,,,
# Food Diary Report - Detailed Report,"Saturday, June 1, 2024","Sunday, June 30, 2024",,,,,,,,
#-------------------------------------------,,,,,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Period Summary,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g),,,,,,
Total,2562,89.42,305.59,146.07,,,,,,
Breakfast,646,22.2,68.25,45.05,,,,,,
Lunch,845,20.23,131.85,40.16,,,,,,
Dinner,721,28.1,69.15,49.14,,,,,,
Snacks/Other,349,18.89,36.34,11.72,,,,,,
,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
# Report Details,,,,,,,,,,
#-------------------------------------------,,,,,,,,,,
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
,,,,,,,,,,
"Saturday, June 1, 2024",1837,70.52,19.919,216.62,23.88,17.3,100.25,1159.11,658.16,1346.28
 Breakfast,,,,,,,,,,
 Lunch,724,21.34,5.76,113.68,7.92,3.96,25.47,369.81,16.66,349.4
  Classico Basil Pesto,77,7.33,1.33,1.33,0.33,0.67,1,189.81,1.66,
   20 g,,,,,,,,,,
  Great Value Partly Skim Mozzarella,80,5,3.5,2,1,0,8,180,15,20
"   1/3 cup, 30 g",,,,,,,,,,
  Terra Delyssa Extra Virgin Olive Oil,56,6.54,0.93,0,0,0,0,0,0,0
   7 ml,,,,,,,,,,
  No Name Elbow Macaroni,511,2.47,,110.35,6.59,3.29,16.47,0,0,329.4
   140 g,,,,,,,,,,
 Dinner,871,32.93,7.409,85.44,12.96,3.84,64.78,619.3,641.5,921.88
  Terra Delyssa Extra Virgin Olive Oil,80,9.34,1.33,0,0,0,0,0,0,0
   10 ml,,,,,,,,,,
  Egg,206,13.92,4.339,1.08,0,1.08,17.61,196,592,188
   140 g,,,,,,,,,,
  Great Value Chickpeas,132,2.1,0.3,21.6,4.2,,6.6,144,,
   150 ml,,,,,,,,,,
  Sunrise Soft Tofu,34,1.91,0.31,0.76,0.76,0.76,3.82,15.3,0,133.88
   65 g,,,,,,,,,,
